,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,1335.0,1350.0,1315.0,1320.0,1226.947021484375,10598000,
1,2021-07-27,1320.0,1330.0,1285.0,1305.0,1213.00439453125,13704700,
2,2021-07-28,1305.0,1305.0,1280.0,1290.0,1199.0618896484375,10673900,
3,2021-07-29,1285.0,1340.0,1280.0,1325.0,1231.594482421875,29077100,
4,2021-07-30,1340.0,1340.0,1300.0,1320.0,1226.947021484375,14713000,
5,2021-08-02,1320.0,1325.0,1290.0,1305.0,1213.00439453125,9038000,2.0
6,2021-08-03,1305.0,1335.0,1300.0,1325.0,1231.594482421875,57143900,2.0
7,2021-08-04,1335.0,1405.0,1335.0,1365.0,1268.7747802734375,64604200,2.0
8,2021-08-05,1365.0,1385.0,1345.0,1350.0,1254.8321533203125,20376200,2.0
9,2021-08-06,1370.0,1370.0,1315.0,1335.0,1240.8896484375,6970300,2.0
10,2021-08-09,1340.0,1375.0,1335.0,1360.0,1264.127197265625,7324500,2.0
11,2021-08-10,1370.0,1485.0,1365.0,1455.0,1352.43017578125,40536900,2.0
12,2021-08-12,1470.0,1515.0,1470.0,1495.0,1389.6104736328125,25647800,2.0
13,2021-08-13,1505.0,1505.0,1430.0,1455.0,1352.43017578125,14008700,2.0
14,2021-08-16,1485.0,1535.0,1460.0,1500.0,1394.258056640625,15861300,0.0
15,2021-08-18,1505.0,1535.0,1480.0,1500.0,1394.258056640625,12563300,2.0
16,2021-08-19,1500.0,1500.0,1420.0,1450.0,1347.78271484375,6932500,2.0
17,2021-08-20,1445.0,1495.0,1410.0,1470.0,1366.372802734375,6461200,2.0
18,2021-08-23,1460.0,1500.0,1450.0,1485.0,1380.3154296875,5063400,2.0
19,2021-08-24,1500.0,1500.0,1415.0,1430.0,1329.192626953125,3679800,2.0
20,2021-08-25,1430.0,1450.0,1395.0,1410.0,1310.6025390625,3673300,2.0
21,2021-08-26,1405.0,1410.0,1370.0,1395.0,1296.659912109375,10677200,2.0
22,2021-08-27,1380.0,1395.0,1375.0,1380.0,1282.71728515625,7732700,2.0
23,2021-08-30,1410.0,1440.0,1395.0,1425.0,1324.5450439453125,15522100,2.0
24,2021-08-31,1430.0,1435.0,1375.0,1390.0,1292.012451171875,16439800,2.0
25,2021-09-01,1395.0,1420.0,1380.0,1410.0,1310.6025390625,11433000,2.0
26,2021-09-02,1410.0,1420.0,1380.0,1380.0,1282.71728515625,5538700,2.0
27,2021-09-03,1380.0,1390.0,1370.0,1375.0,1278.06982421875,7830400,1.0
28,2021-09-06,1380.0,1415.0,1380.0,1400.0,1301.307373046875,11713700,2.0
29,2021-09-07,1410.0,1415.0,1385.0,1400.0,1301.307373046875,6032800,2.0
30,2021-09-08,1410.0,1410.0,1390.0,1410.0,1310.6025390625,8264800,2.0
31,2021-09-09,1410.0,1415.0,1390.0,1400.0,1301.307373046875,7197800,2.0
32,2021-09-10,1400.0,1405.0,1380.0,1380.0,1282.71728515625,6538700,2.0
33,2021-09-13,1380.0,1390.0,1380.0,1385.0,1287.3648681640625,3300800,2.0
