,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,702.0,714.0,692.0,702.0,643.3226928710938,46034500,
1,2021-07-27,712.0,726.0,710.0,712.0,652.48681640625,87635000,
2,2021-07-28,712.0,712.0,702.0,706.0,646.9883422851562,26256500,
3,2021-07-29,708.0,722.0,708.0,718.0,657.9852905273438,71056000,
4,2021-07-30,720.0,726.0,708.0,720.0,659.818115234375,39919500,
5,2021-08-02,722.0,738.0,686.0,706.0,646.9883422851562,50569000,2.0
6,2021-08-03,706.0,716.0,694.0,710.0,650.6539306640625,27672000,2.0
7,2021-08-04,700.0,710.0,698.0,710.0,661.8399658203125,25867000,2.0
8,2021-08-05,710.0,710.0,690.0,690.0,643.1966552734375,25937500,1.0
9,2021-08-06,698.0,698.0,686.0,696.0,648.7896728515625,9691000,2.0
10,2021-08-09,694.0,696.0,684.0,690.0,643.1966552734375,18536500,2.0
11,2021-08-10,690.0,700.0,680.0,700.0,652.518310546875,46693000,2.0
12,2021-08-12,704.0,714.0,696.0,708.0,659.9757080078125,38989500,2.0
13,2021-08-13,712.0,748.0,712.0,744.0,693.53369140625,107196000,2.0
14,2021-08-16,752.0,752.0,726.0,740.0,689.8051147460938,55283500,2.0
15,2021-08-18,740.0,766.0,732.0,738.0,687.9407348632812,80007000,2.0
16,2021-08-19,738.0,740.0,714.0,720.0,671.1616821289062,79513500,2.0
17,2021-08-20,720.0,730.0,718.0,728.0,678.6190795898438,47978000,2.0
18,2021-08-23,740.0,766.0,730.0,766.0,714.0414428710938,83553500,2.0
19,2021-08-24,772.0,778.0,758.0,770.0,717.7701416015625,41846500,2.0
20,2021-08-25,768.0,768.0,744.0,750.0,699.126708984375,29006000,2.0
21,2021-08-26,756.0,756.0,734.0,744.0,693.53369140625,34900500,2.0
22,2021-08-27,744.0,768.0,740.0,762.0,710.3128051757812,42057500,2.0
23,2021-08-30,768.0,778.0,762.0,770.0,717.7701416015625,55753500,2.0
24,2021-08-31,780.0,788.0,770.0,778.0,725.2274780273438,45604500,0.0
25,2021-09-01,780.0,780.0,768.0,774.0,721.4988403320312,22387500,2.0
26,2021-09-02,774.0,780.0,764.0,770.0,717.7701416015625,20633000,2.0
27,2021-09-03,776.0,776.0,760.0,768.0,715.9058227539062,23275500,2.0
28,2021-09-06,772.0,792.0,766.0,778.0,725.2274780273438,43851500,2.0
29,2021-09-07,788.0,788.0,770.0,778.0,725.2274780273438,29348000,2.0
30,2021-09-08,776.0,780.0,728.0,732.0,682.3477172851562,69865000,1.0
31,2021-09-09,730.0,758.0,728.0,754.0,702.8554077148438,47110000,2.0
32,2021-09-10,754.0,754.0,746.0,748.0,697.2623901367188,9406000,2.0
33,2021-09-13,748.0,756.0,746.0,756.0,704.7197875976562,10206500,2.0
34,2021-09-14,758.0,784.0,758.0,780.0,727.091796875,41226500,0.0
35,2021-09-15,780.0,780.0,764.0,772.0,719.6344604492188,9779000,2.0
36,2021-09-16,772.0,784.0,772.0,780.0,727.091796875,8326500,2.0
37,2021-09-17,780.0,780.0,770.0,776.0,723.3631591796875,36478000,2.0
38,2021-09-20,780.0,780.0,766.0,772.0,719.6344604492188,9588000,2.0
39,2021-09-21,770.0,780.0,760.0,774.0,721.4988403320312,18277000,2.0
40,2021-09-22,782.0,810.0,778.0,798.0,743.870849609375,54041000,2.0
41,2021-09-23,804.0,824.0,804.0,820.0,764.3786010742188,50575000,2.0
42,2021-09-24,824.0,848.0,816.0,826.0,769.9716186523438,65231000,2.0
43,2021-09-27,828.0,840.0,820.0,826.0,769.9716186523438,27472500,2.0
44,2021-09-28,826.0,834.0,796.0,814.0,758.7855834960938,66873000,2.0
45,2021-09-29,800.0,830.0,800.0,830.0,773.7003173828125,44890000,2.0
46,2021-09-30,832.0,872.0,830.0,872.0,812.8514404296875,63663500,2.0
47,2021-10-01,872.0,874.0,856.0,868.0,809.1227416992188,24179000,2.0
48,2021-10-04,870.0,890.0,856.0,890.0,829.6304321289062,27998500,0.0
49,2021-10-05,890.0,898.0,878.0,882.0,822.1730346679688,29454000,2.0
50,2021-10-06,886.0,890.0,868.0,876.0,816.580078125,31678500,2.0
51,2021-10-07,876.0,894.0,818.0,828.0,771.8359985351562,69739500,1.0
52,2021-10-08,836.0,880.0,834.0,880.0,820.3087768554688,101014500,2.0
53,2021-10-11,884.0,888.0,876.0,882.0,822.1730346679688,63429000,2.0
54,2021-10-12,882.0,882.0,866.0,882.0,822.1730346679688,66580500,2.0
55,2021-10-13,882.0,882.0,862.0,866.0,807.2583618164062,53650000,2.0
56,2021-10-14,868.0,888.0,858.0,868.0,809.1227416992188,51214500,2.0
57,2021-10-15,868.0,872.0,854.0,856.0,797.9367065429688,55579000,1.0
58,2021-10-18,856.0,884.0,856.0,878.0,818.4444580078125,65018500,2.0
59,2021-10-19,882.0,884.0,870.0,874.0,814.7157592773438,37421000,2.0
60,2021-10-21,868.0,900.0,868.0,884.0,824.0374145507812,114251000,2.0
61,2021-10-22,890.0,944.0,890.0,932.0,868.781494140625,106233000,2.0
62,2021-10-25,940.0,944.0,932.0,938.0,874.37451171875,68106500,0.0
63,2021-10-26,938.0,944.0,924.0,930.0,866.9171752929688,35298000,2.0
64,2021-10-27,930.0,934.0,882.0,892.0,831.4947509765625,67238000,2.0
65,2021-10-28,880.0,884.0,836.0,846.0,788.6150512695312,75826500,2.0
66,2021-10-29,850.0,860.0,846.0,854.0,796.0723266601562,57457500,2.0
67,2021-11-01,854.0,858.0,830.0,840.0,783.0220336914062,38070500,2.0
68,2021-11-02,844.0,846.0,834.0,844.0,786.7506713867188,51361500,2.0
69,2021-11-03,844.0,848.0,832.0,836.0,779.2933349609375,54523500,2.0
70,2021-11-04,838.0,850.0,836.0,840.0,783.0220336914062,43927500,2.0
71,2021-11-05,846.0,856.0,830.0,830.0,773.7003173828125,53017000,1.0
72,2021-11-08,834.0,858.0,834.0,858.0,799.801025390625,89044000,2.0
73,2021-11-09,862.0,884.0,862.0,868.0,809.1227416992188,82012500,2.0
74,2021-11-10,870.0,888.0,870.0,882.0,822.1730346679688,69524000,0.0
75,2021-11-11,890.0,894.0,874.0,874.0,814.7157592773438,81449500,2.0
