,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,97.0,98.0,95.0,96.0,96.0,317075800,
1,2021-07-27,96.0,97.0,92.0,93.0,93.0,530815100,
2,2021-07-28,93.0,96.0,93.0,94.0,94.0,307467400,
3,2021-07-29,94.0,98.0,93.0,96.0,96.0,416700700,
4,2021-07-30,97.0,97.0,95.0,96.0,96.0,190645000,
5,2021-08-02,97.0,107.0,96.0,106.0,106.0,1599322200,2.0
6,2021-08-03,106.0,109.0,100.0,101.0,101.0,915718000,2.0
7,2021-08-04,101.0,104.0,99.0,102.0,102.0,492698300,2.0
8,2021-08-05,102.0,109.0,101.0,108.0,108.0,1391294100,0.0
9,2021-08-06,109.0,109.0,101.0,101.0,101.0,1012801800,2.0
10,2021-08-09,99.0,100.0,96.0,96.0,96.0,843935300,2.0
11,2021-08-10,97.0,104.0,94.0,97.0,97.0,977778700,2.0
12,2021-08-12,97.0,101.0,96.0,99.0,99.0,586513500,2.0
13,2021-08-13,100.0,101.0,93.0,96.0,96.0,601151200,2.0
14,2021-08-16,95.0,96.0,93.0,94.0,94.0,419855400,2.0
15,2021-08-18,94.0,95.0,88.0,89.0,89.0,855018400,1.0
16,2021-08-19,89.0,91.0,86.0,89.0,89.0,404853400,2.0
17,2021-08-20,89.0,94.0,88.0,92.0,92.0,342271900,2.0
18,2021-08-23,90.0,96.0,90.0,93.0,93.0,354788900,2.0
19,2021-08-24,94.0,96.0,91.0,93.0,93.0,207343600,2.0
20,2021-08-25,94.0,96.0,92.0,92.0,92.0,318073600,2.0
21,2021-08-26,94.0,94.0,90.0,90.0,90.0,165948900,2.0
22,2021-08-27,90.0,92.0,88.0,89.0,89.0,238040700,2.0
23,2021-08-30,90.0,91.0,88.0,88.0,88.0,238353400,2.0
24,2021-08-31,89.0,90.0,86.0,87.0,87.0,306120600,2.0
25,2021-09-01,87.0,89.0,86.0,87.0,87.0,247469900,2.0
26,2021-09-02,88.0,88.0,86.0,86.0,86.0,144412100,1.0
27,2021-09-03,86.0,87.0,85.0,86.0,86.0,499335600,2.0
28,2021-09-06,87.0,91.0,85.0,90.0,90.0,584737700,2.0
29,2021-09-07,91.0,92.0,88.0,89.0,89.0,502671800,2.0
