,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,1170.0,1215.0,1155.0,1155.0,1097.770263671875,20466000,
1,2021-07-27,1165.0,1200.0,1160.0,1165.0,1107.27490234375,15316500,
2,2021-07-28,1165.0,1175.0,1120.0,1145.0,1088.2657470703125,9631000,
3,2021-07-29,1145.0,1205.0,1135.0,1195.0,1135.788330078125,27342500,
4,2021-07-30,1210.0,1240.0,1150.0,1150.0,1093.01806640625,20200500,
5,2021-08-02,1150.0,1175.0,1145.0,1160.0,1102.5224609375,6715500,2.0
6,2021-08-03,1140.0,1150.0,1080.0,1080.0,1026.486572265625,47278500,2.0
7,2021-08-04,1080.0,1080.0,1005.0,1020.0,969.4595336914062,51159000,2.0
8,2021-08-05,1020.0,1045.0,1010.0,1030.0,978.9639892578125,13114500,2.0
9,2021-08-06,1040.0,1045.0,1025.0,1040.0,988.468505859375,8153000,2.0
10,2021-08-09,1045.0,1045.0,1005.0,1010.0,959.9549560546875,15159000,1.0
11,2021-08-10,1030.0,1045.0,1015.0,1025.0,974.2117309570312,13524500,2.0
12,2021-08-12,1045.0,1075.0,1040.0,1040.0,988.468505859375,15719000,2.0
13,2021-08-13,1040.0,1060.0,1020.0,1025.0,974.2117309570312,5185000,2.0
14,2021-08-16,1025.0,1055.0,1025.0,1040.0,988.468505859375,5450500,2.0
15,2021-08-18,1040.0,1045.0,1015.0,1030.0,978.9639892578125,7768500,2.0
16,2021-08-19,1020.0,1025.0,972.0,972.0,923.8378295898438,38351000,1.0
17,2021-08-20,972.0,996.0,940.0,982.0,933.3424072265625,10809500,2.0
18,2021-08-23,984.0,988.0,974.0,978.0,929.5405883789062,7762000,2.0
19,2021-08-24,986.0,990.0,972.0,978.0,929.5405883789062,11202000,2.0
20,2021-08-25,978.0,982.0,974.0,976.0,927.6397094726562,3524500,2.0
21,2021-08-26,976.0,980.0,970.0,974.0,925.73876953125,5873500,2.0
22,2021-08-27,972.0,980.0,952.0,960.0,912.4324340820312,11617000,1.0
23,2021-08-30,960.0,970.0,956.0,964.0,916.2342529296875,5362000,2.0
24,2021-08-31,966.0,978.0,966.0,970.0,921.9369506835938,6183000,2.0
25,2021-09-01,976.0,982.0,968.0,970.0,921.9369506835938,6439000,2.0
26,2021-09-02,974.0,990.0,970.0,980.0,931.4414672851562,19608000,2.0
27,2021-09-03,980.0,1010.0,980.0,1000.0,950.4505004882812,14654500,2.0
28,2021-09-06,1010.0,1020.0,1000.0,1005.0,955.2026977539062,9368500,2.0
29,2021-09-07,1010.0,1015.0,986.0,1010.0,959.9549560546875,8414500,2.0
30,2021-09-08,1010.0,1020.0,998.0,998.0,948.549560546875,9981500,2.0
31,2021-09-09,998.0,1015.0,994.0,1010.0,959.9549560546875,6937000,2.0
32,2021-09-10,1010.0,1080.0,1010.0,1055.0,1002.7252807617188,30534500,2.0
33,2021-09-13,1060.0,1100.0,1020.0,1025.0,974.2117309570312,15513500,2.0
34,2021-09-14,1020.0,1050.0,1020.0,1030.0,978.9639892578125,141107000,2.0
35,2021-09-15,1030.0,1100.0,1030.0,1095.0,1040.7432861328125,181013500,0.0
36,2021-09-16,1100.0,1105.0,1075.0,1075.0,1021.7343139648438,13391500,2.0
37,2021-09-17,1075.0,1080.0,1050.0,1080.0,1026.486572265625,4254000,2.0
38,2021-09-20,1080.0,1090.0,1050.0,1060.0,1007.4774780273438,4828000,2.0
39,2021-09-21,1060.0,1060.0,1005.0,1045.0,993.2207641601562,18286000,2.0
40,2021-09-22,1045.0,1105.0,1030.0,1080.0,1026.486572265625,152733500,2.0
41,2021-09-23,1095.0,1295.0,1075.0,1295.0,1230.8333740234375,144622000,2.0
42,2021-09-24,1330.0,1540.0,1330.0,1535.0,1458.94140625,247362500,2.0
43,2021-09-27,1535.0,1675.0,1470.0,1535.0,1458.94140625,125795500,2.0
44,2021-09-28,1545.0,1630.0,1530.0,1590.0,1511.2161865234375,82115500,2.0
45,2021-09-29,1590.0,1690.0,1575.0,1615.0,1534.9775390625,142864000,2.0
46,2021-09-30,1650.0,1915.0,1650.0,1860.0,1767.837890625,132874000,0.0
47,2021-10-01,1880.0,1915.0,1730.0,1745.0,1658.5360107421875,56892500,2.0
48,2021-10-04,1800.0,1840.0,1660.0,1665.0,1582.5001220703125,58462000,2.0
49,2021-10-05,1685.0,1820.0,1625.0,1640.0,1558.73876953125,78292000,2.0
50,2021-10-06,1680.0,1780.0,1590.0,1615.0,1534.9775390625,78731000,2.0
51,2021-10-07,1600.0,1685.0,1515.0,1650.0,1568.2432861328125,86648000,2.0
52,2021-10-08,1650.0,1700.0,1535.0,1565.0,1487.455078125,142652000,1.0
53,2021-10-11,1595.0,1660.0,1520.0,1650.0,1568.2432861328125,83205500,2.0
54,2021-10-12,1690.0,1715.0,1630.0,1640.0,1558.73876953125,42931500,2.0
55,2021-10-13,1655.0,1655.0,1585.0,1615.0,1534.9775390625,31446500,2.0
56,2021-10-14,1615.0,1665.0,1590.0,1605.0,1525.4730224609375,29113500,2.0
57,2021-10-15,1610.0,1670.0,1605.0,1635.0,1553.986572265625,25351500,2.0
58,2021-10-18,1640.0,1750.0,1640.0,1680.0,1596.7568359375,79435500,0.0
59,2021-10-19,1680.0,1710.0,1635.0,1660.0,1577.747802734375,26904000,2.0
60,2021-10-21,1660.0,1720.0,1560.0,1575.0,1496.95947265625,40158000,2.0
61,2021-10-22,1540.0,1550.0,1465.0,1515.0,1439.9324951171875,60491500,1.0
62,2021-10-25,1520.0,1620.0,1500.0,1600.0,1520.7208251953125,43545000,2.0
63,2021-10-26,1600.0,1630.0,1565.0,1600.0,1520.7208251953125,14201000,2.0
64,2021-10-27,1595.0,1690.0,1595.0,1595.0,1515.968505859375,55594000,2.0
65,2021-10-28,1595.0,1600.0,1530.0,1550.0,1473.1982421875,20753500,2.0
66,2021-10-29,1540.0,1580.0,1525.0,1525.0,1449.43701171875,14931000,2.0
67,2021-11-01,1525.0,1545.0,1490.0,1490.0,1416.1712646484375,13512500,1.0
68,2021-11-02,1490.0,1540.0,1480.0,1515.0,1439.9324951171875,35212500,2.0
69,2021-11-03,1525.0,1570.0,1510.0,1515.0,1439.9324951171875,48476500,2.0
70,2021-11-04,1540.0,1650.0,1530.0,1590.0,1511.2161865234375,78126000,2.0
71,2021-11-05,1600.0,1620.0,1510.0,1525.0,1449.43701171875,39492000,2.0
72,2021-11-08,1540.0,1590.0,1515.0,1580.0,1501.7117919921875,41562000,2.0
73,2021-11-09,1595.0,1670.0,1590.0,1660.0,1577.747802734375,70376500,0.0
74,2021-11-10,1660.0,1670.0,1610.0,1620.0,1539.729736328125,26366500,2.0
75,2021-11-11,1620.0,1650.0,1565.0,1625.0,1544.4820556640625,29955000,2.0
76,2021-11-12,1625.0,1640.0,1590.0,1605.0,1525.4730224609375,27537500,2.0
77,2021-11-15,1610.0,1615.0,1530.0,1555.0,1477.9505615234375,18973500,1.0
78,2021-11-16,1555.0,1585.0,1555.0,1575.0,1496.95947265625,24493000,2.0
79,2021-11-17,1585.0,1650.0,1580.0,1620.0,1539.729736328125,45652000,2.0
80,2021-11-18,1620.0,1635.0,1565.0,1600.0,1520.7208251953125,20820000,2.0
81,2021-11-19,1620.0,1855.0,1595.0,1785.0,1696.5540771484375,106903500,2.0
82,2021-11-22,1785.0,1945.0,1780.0,1895.0,1801.1036376953125,111167000,2.0
83,2021-11-23,1920.0,1965.0,1790.0,1845.0,1753.5811767578125,76749000,2.0
84,2021-11-24,1870.0,1990.0,1860.0,1960.0,1862.8829345703125,131330000,0.0
85,2021-11-25,1990.0,2040.0,1845.0,1885.0,1791.5992431640625,124738000,2.0
86,2021-11-26,1885.0,1930.0,1815.0,1845.0,1753.5811767578125,100745000,2.0
87,2021-11-29,1840.0,1890.0,1800.0,1880.0,1786.846923828125,106940000,2.0
88,2021-11-30,1880.0,1910.0,1825.0,1840.0,1748.828857421875,78313000,1.0
89,2021-12-01,1840.0,1935.0,1815.0,1915.0,1820.1126708984375,100886000,2.0
90,2021-12-02,1880.0,1960.0,1830.0,1930.0,1834.3695068359375,111686000,2.0
91,2021-12-03,1950.0,2110.0,1935.0,2100.0,1995.946044921875,207818500,2.0
92,2021-12-06,2100.0,2175.0,2045.0,2060.0,1957.927978515625,153951500,2.0
93,2021-12-07,2065.0,2105.0,2035.0,2100.0,1995.946044921875,103934500,2.0
94,2021-12-08,2115.0,2150.0,2010.0,2040.0,1938.9190673828125,88113000,2.0
