,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,7675.0,7750.0,7425.0,7425.0,7280.734375,5200900,
1,2021-07-27,7475.0,7625.0,7400.0,7525.0,7378.79150390625,3499600,
2,2021-07-28,7525.0,7550.0,7200.0,7250.0,7109.134765625,5525600,
3,2021-07-29,7300.0,7375.0,7100.0,7125.0,6986.56298828125,8486500,
4,2021-07-30,7150.0,7200.0,6725.0,6800.0,6667.8779296875,16263100,
5,2021-08-02,6800.0,6875.0,6700.0,6850.0,6716.90625,5260500,2.0
6,2021-08-03,6950.0,7075.0,6850.0,6850.0,6716.90625,4260700,2.0
7,2021-08-04,6875.0,7100.0,6850.0,7000.0,6863.9921875,5560200,2.0
8,2021-08-05,7000.0,7025.0,6825.0,6850.0,6716.90625,4871200,2.0
9,2021-08-06,6850.0,7250.0,6850.0,7000.0,6863.9921875,6446200,2.0
10,2021-08-09,7050.0,7075.0,6700.0,6725.0,6594.3349609375,9053500,2.0
11,2021-08-10,6725.0,6825.0,6675.0,6725.0,6594.3349609375,5577800,2.0
12,2021-08-12,6800.0,6825.0,6700.0,6725.0,6594.3349609375,6893300,2.0
13,2021-08-13,6775.0,6925.0,6675.0,6700.0,6569.82080078125,9321400,2.0
14,2021-08-16,6725.0,6775.0,6400.0,6425.0,6300.1640625,12458300,2.0
15,2021-08-18,6500.0,6575.0,6350.0,6400.0,6275.64990234375,9810800,2.0
16,2021-08-19,6375.0,6425.0,6200.0,6250.0,6128.56396484375,6939600,1.0
17,2021-08-20,6200.0,6350.0,6200.0,6275.0,6153.07861328125,6024700,2.0
18,2021-08-23,6300.0,6500.0,6300.0,6350.0,6226.62109375,6825500,2.0
19,2021-08-24,6500.0,7175.0,6500.0,6875.0,6741.42041015625,25078000,2.0
20,2021-08-25,6975.0,7075.0,6725.0,6800.0,6667.8779296875,10519100,2.0
21,2021-08-26,6800.0,7225.0,6750.0,6800.0,6667.8779296875,20707900,2.0
22,2021-08-27,6800.0,6950.0,6700.0,6800.0,6667.8779296875,10313800,2.0
23,2021-08-30,6900.0,7500.0,6875.0,7450.0,7305.24853515625,23214800,2.0
24,2021-08-31,7525.0,8000.0,7350.0,7900.0,7746.5048828125,25597200,2.0
25,2021-09-01,7900.0,8175.0,7700.0,7775.0,7623.93408203125,16602400,2.0
26,2021-09-02,7825.0,8075.0,7750.0,8025.0,7869.07666015625,14453700,0.0
27,2021-09-03,8025.0,8100.0,7875.0,8000.0,7844.5625,6705700,2.0
28,2021-09-06,8000.0,8000.0,7800.0,7825.0,7721.220703125,6260800,2.0
29,2021-09-07,7800.0,7850.0,7625.0,7625.0,7523.87255859375,9175900,1.0
30,2021-09-08,7625.0,8150.0,7575.0,7900.0,7795.2255859375,17014100,2.0
31,2021-09-09,7875.0,7950.0,7600.0,7900.0,7795.2255859375,9873800,2.0
32,2021-09-10,7900.0,7950.0,7750.0,7900.0,7795.2255859375,4177400,2.0
33,2021-09-13,7900.0,7925.0,7800.0,7850.0,7745.888671875,2326500,2.0
34,2021-09-14,7900.0,7950.0,7800.0,7875.0,7770.55712890625,3973800,2.0
35,2021-09-15,7825.0,7850.0,7500.0,7525.0,7425.19921875,13968500,2.0
36,2021-09-16,7525.0,7675.0,7200.0,7275.0,7178.5146484375,16175800,2.0
37,2021-09-17,7275.0,7375.0,7200.0,7225.0,7129.177734375,13516900,2.0
38,2021-09-20,7225.0,7225.0,7000.0,7025.0,6931.83056640625,8599000,1.0
39,2021-09-21,6925.0,7275.0,6800.0,7225.0,7129.177734375,10583000,2.0
40,2021-09-22,7250.0,7325.0,7150.0,7175.0,7079.8408203125,4780200,2.0
41,2021-09-23,7225.0,7325.0,7125.0,7175.0,7079.8408203125,4503100,2.0
42,2021-09-24,7225.0,7225.0,7025.0,7025.0,6931.83056640625,5875400,2.0
43,2021-09-27,7100.0,7150.0,7050.0,7100.0,7005.8359375,2797700,2.0
44,2021-09-28,7150.0,7150.0,7025.0,7050.0,6956.4990234375,3714700,2.0
45,2021-09-29,7025.0,8150.0,6950.0,8125.0,8017.2412109375,43577000,2.0
46,2021-09-30,8175.0,8725.0,7875.0,8575.0,8461.2734375,41874400,2.0
47,2021-10-01,8525.0,8675.0,8325.0,8425.0,8313.2626953125,16602900,2.0
48,2021-10-04,8450.0,9000.0,8450.0,8875.0,8757.2939453125,17351900,0.0
49,2021-10-05,8875.0,8975.0,8400.0,8600.0,8485.94140625,14563500,2.0
50,2021-10-06,8625.0,8775.0,8500.0,8550.0,8436.6044921875,9492700,2.0
51,2021-10-07,8600.0,8650.0,8225.0,8350.0,8239.2578125,11469500,1.0
52,2021-10-08,8350.0,8950.0,8325.0,8600.0,8485.94140625,18860200,2.0
53,2021-10-11,8675.0,8750.0,8500.0,8675.0,8559.947265625,5946800,2.0
54,2021-10-12,8675.0,8950.0,8525.0,8875.0,8757.2939453125,12899300,2.0
55,2021-10-13,8950.0,9250.0,8800.0,8875.0,8757.2939453125,19730400,2.0
56,2021-10-14,8900.0,9200.0,8900.0,9100.0,8979.310546875,16091900,2.0
57,2021-10-15,9125.0,9175.0,8925.0,9025.0,8905.3056640625,8322300,2.0
58,2021-10-18,9025.0,9275.0,8925.0,9175.0,9053.3154296875,11240800,0.0
59,2021-10-19,9200.0,9275.0,9000.0,9000.0,8880.63671875,6132800,2.0
60,2021-10-21,9050.0,9100.0,8600.0,8675.0,8559.947265625,12266500,2.0
61,2021-10-22,8600.0,8775.0,8450.0,8575.0,8461.2734375,11140200,2.0
62,2021-10-25,8600.0,8875.0,8600.0,8750.0,8633.9521484375,6271600,2.0
63,2021-10-26,8775.0,8850.0,8650.0,8675.0,8559.947265625,4246000,2.0
64,2021-10-27,8700.0,8750.0,8525.0,8600.0,8485.94140625,4243000,2.0
65,2021-10-28,8600.0,8600.0,8225.0,8275.0,8165.251953125,10323300,2.0
66,2021-10-29,8275.0,8575.0,8275.0,8475.0,8362.599609375,7076700,2.0
67,2021-11-01,8500.0,8600.0,8300.0,8325.0,8214.5888671875,5021300,2.0
68,2021-11-02,8350.0,8425.0,8100.0,8125.0,8017.2412109375,7578800,1.0
69,2021-11-03,8125.0,8350.0,8100.0,8325.0,8214.5888671875,6904100,2.0
70,2021-11-04,8350.0,8475.0,8300.0,8325.0,8214.5888671875,7161700,2.0
71,2021-11-05,8350.0,8475.0,8300.0,8475.0,8362.599609375,4290000,2.0
