,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,16300.0,16400.0,15975.0,16025.0,10256.025390625,1555800,
1,2021-07-27,16050.0,16375.0,15825.0,16000.0,10240.025390625,1583900,
2,2021-07-28,16000.0,16775.0,16000.0,16750.0,10720.02734375,3039200,
3,2021-07-29,16750.0,17275.0,16675.0,17050.0,10912.02734375,2697400,
4,2021-07-30,17100.0,17225.0,16550.0,16950.0,10848.02734375,2758100,
5,2021-08-02,17100.0,17225.0,16675.0,16950.0,10848.02734375,1194600,2.0
6,2021-08-03,16950.0,16975.0,16700.0,16925.0,10832.0263671875,1404900,2.0
7,2021-08-04,16900.0,16975.0,16600.0,16750.0,10720.02734375,1191100,2.0
8,2021-08-05,16850.0,17150.0,15900.0,16125.0,10320.0263671875,4279600,1.0
9,2021-08-06,16000.0,16350.0,15975.0,16175.0,10352.025390625,1631800,2.0
10,2021-08-09,16825.0,17175.0,16275.0,16550.0,10592.02734375,5549000,2.0
11,2021-08-10,16825.0,17375.0,16525.0,17100.0,10944.02734375,7353700,2.0
12,2021-08-12,17400.0,17750.0,17175.0,17300.0,11072.0283203125,6456800,2.0
13,2021-08-13,17450.0,17475.0,16950.0,17100.0,10944.02734375,3136800,2.0
14,2021-08-16,17100.0,17550.0,16950.0,17350.0,11104.0283203125,4042400,0.0
15,2021-08-18,17300.0,17300.0,16325.0,16400.0,10496.02734375,7173500,2.0
16,2021-08-19,16400.0,16550.0,15550.0,16000.0,10240.025390625,6442600,2.0
17,2021-08-20,16000.0,16200.0,15550.0,15800.0,10112.0263671875,3771000,2.0
18,2021-08-23,15750.0,16075.0,15700.0,16050.0,10272.0263671875,2706600,2.0
19,2021-08-24,16100.0,16200.0,15075.0,15300.0,9792.0244140625,7483900,2.0
20,2021-08-25,15300.0,15650.0,15250.0,15400.0,9856.025390625,1959100,2.0
21,2021-08-26,15425.0,15600.0,15350.0,15450.0,9888.0244140625,2232900,2.0
22,2021-08-27,15450.0,15500.0,15100.0,15250.0,9760.0234375,1596100,1.0
23,2021-08-30,15500.0,15825.0,15425.0,15800.0,10112.0263671875,2996600,2.0
24,2021-08-31,15850.0,16000.0,15625.0,16000.0,10240.025390625,2428500,2.0
25,2021-09-01,16000.0,16325.0,15900.0,16250.0,10400.025390625,2647200,2.0
26,2021-09-02,16400.0,16650.0,16250.0,16550.0,10592.02734375,2884200,2.0
27,2021-09-03,16750.0,17150.0,16600.0,16925.0,10832.0263671875,3470000,2.0
28,2021-09-06,17025.0,17450.0,16800.0,16875.0,10800.02734375,1994300,2.0
