,Date,Open,High,Low,Close,Adj Close,Volume,label
0,2021-07-26,420.0,438.0,412.0,438.0,415.5353698730469,117694000,
1,2021-07-27,440.0,454.0,422.0,424.0,402.25341796875,80921500,
2,2021-07-28,430.0,460.0,414.0,460.0,436.4070129394531,154153500,
3,2021-07-29,460.0,466.0,448.0,448.0,425.0224914550781,91980500,
4,2021-07-30,448.0,460.0,430.0,460.0,436.4070129394531,182209500,
5,2021-08-02,460.0,468.0,444.0,450.0,426.9198913574219,101175000,2.0
6,2021-08-03,450.0,458.0,434.0,442.0,419.3302001953125,104453000,2.0
7,2021-08-04,446.0,452.0,434.0,436.0,413.6379699707031,66192000,2.0
8,2021-08-05,434.0,446.0,406.0,418.0,396.5611572265625,140155500,2.0
9,2021-08-06,422.0,424.0,406.0,416.0,394.6637268066406,77789000,2.0
10,2021-08-09,416.0,424.0,398.0,404.0,383.2792053222656,90238500,2.0
11,2021-08-10,406.0,412.0,383.0,400.0,379.484375,67454000,2.0
12,2021-08-12,399.0,406.0,387.0,394.0,373.7920837402344,33403500,2.0
13,2021-08-13,392.0,402.0,384.0,386.0,366.202392578125,33842500,2.0
14,2021-08-16,386.0,386.0,364.0,368.0,349.1256103515625,42131000,2.0
15,2021-08-18,368.0,370.0,343.0,349.0,331.10009765625,128020000,1.0
16,2021-08-19,348.0,358.0,330.0,355.0,336.7923583984375,86746500,2.0
17,2021-08-20,358.0,390.0,350.0,390.0,369.99725341796875,147564500,2.0
18,2021-08-23,392.0,396.0,371.0,386.0,366.202392578125,91908000,2.0
19,2021-08-24,386.0,389.0,379.0,380.0,360.5101623535156,36174000,2.0
20,2021-08-25,385.0,406.0,380.0,390.0,369.99725341796875,79185000,2.0
21,2021-08-26,390.0,400.0,382.0,385.0,365.2536926269531,19003000,2.0
22,2021-08-27,385.0,393.0,382.0,383.0,363.35626220703125,39406500,2.0
23,2021-08-30,388.0,402.0,385.0,395.0,374.7408142089844,54558000,2.0
24,2021-08-31,395.0,422.0,394.0,406.0,385.1766357421875,150550000,2.0
25,2021-09-01,412.0,414.0,400.0,404.0,383.2792053222656,84459000,2.0
26,2021-09-02,404.0,410.0,379.0,383.0,363.35626220703125,63853000,2.0
27,2021-09-03,383.0,399.0,379.0,390.0,369.99725341796875,50366000,2.0
28,2021-09-06,390.0,414.0,390.0,410.0,388.9714660644531,39387500,2.0
29,2021-09-07,412.0,414.0,402.0,414.0,392.7663269042969,36584000,2.0
30,2021-09-08,414.0,416.0,399.0,400.0,379.484375,73974000,2.0
31,2021-09-09,400.0,408.0,384.0,393.0,372.8433837890625,40108000,2.0
32,2021-09-10,393.0,412.0,393.0,410.0,388.9714660644531,52841500,2.0
33,2021-09-13,410.0,422.0,398.0,418.0,396.5611572265625,42748000,2.0
34,2021-09-14,420.0,434.0,412.0,432.0,409.8431091308594,39858000,0.0
